date,followers_count,likes_count,comments_count,engagement_score,new_fans,people_talking_about,,,,,,,,,,date,new_fans,people_talking_about
07/12/2016,9127598,132288,766,550,,,,,,,,,,,,07/12/2016,71,1104
08/12/2016,9133435,215206,629,726,,,,,,,,,,,,08/12/2016,720,1294
09/12/2016,9138682,171279,443,538,,,,,,,,,,,,09/12/2016,1213,3591
10/12/2016,9143942,79102,262,510,,,,,,,,,,,,10/12/2016,1125,4404
11/12/2016,9149739,233946,1077,652,,,,,,,,,,,,11/12/2016,0,4404
12/12/2016,9155854,325966,1231,947,,,,,,,,,,,,12/12/2016,2207,5371
13/12/2016,9161397,284124,856,574,,,,,,,,,,,,13/12/2016,23341,5904
14/12/2016,9165736,147217,649,587,,,,,,,,,,,,14/12/2016,135,5919
15/12/2016,9172570,64543,142,440,,,,,,,,,,,,15/12/2016,173,5921
16/12/2016,9178424,158284,366,509,,,,,,,,,,,,16/12/2016,171,4030
17/12/2016,9185236,156373,354,608,,,,,,,,,,,,17/12/2016,117,3642
18/12/2016,9191000,97384,193,442,,,,,,,,,,,,18/12/2016,170,3596
19/12/2016,9196516,108552,346,478,,,,,,,,,,,,19/12/2016,275,4173
20/12/2016,9201693,156190,400,607,,,,,,,,,,,,20/12/2016,-75,5117
21/12/2016,9208122,128001,306,437,,,,,,,,,,,,21/12/2016,777,6218
22/12/2016,9214876,161784,477,516,,,,,,,,,,,,22/12/2016,631,7224
23/12/2016,9222357,46635,101,566,,,,,,,,,,,,23/12/2016,147,7194
24/12/2016,9231094,99088,235,446,,,,,,,,,,,,24/12/2016,102,7029
25/12/2016,9237629,231932,928,646,,,,,,,,,,,,25/12/2016,122,6810
26/12/2016,9243864,105646,270,611,,,,,,,,,,,,26/12/2016,185,6008
27/12/2016,9250171,130184,365,540,,,,,,,,,,,,27/12/2016,-1242,5400
28/12/2016,9257077,121532,299,515,,,,,,,,,,,,28/12/2016,4205,4802
29/12/2016,9264507,189677,489,676,,,,,,,,,,,,29/12/2016,5232,3878
30/12/2016,9271866,228827,592,640,,,,,,,,,,,,30/12/2016,8,3622
31/12/2016,9278400,140080,1144,567,,,,,,,,,,,,31/12/2016,-54,3439
01/01/2017,9283504,85534,169,533,,,,,,,,,,,,01/01/2017,0,3439
02/01/2017,9290916,82793,187,521,,,,,,,,,,,,02/01/2017,-204,2969
03/01/2017,9298506,70598,127,715,,,,,,,,,,,,03/01/2017,-585,1976
04/01/2017,9305536,118589,307,505,,,,,,,,,,,,04/01/2017,-92,1246
05/01/2017,9309875,75188,238,360,,,,,,,,,,,,05/01/2017,-120,1045
06/01/2017,9316309,134110,394,548,,,,,,,,,,,,06/01/2017,-65,1003
07/01/2017,9322083,106357,360,467,,,,,,,,,,,,07/01/2017,-4,980
08/01/2017,9331779,207910,676,522,,,,,,,,,,,,08/01/2017,0,1036
09/01/2017,9338541,152885,672,493,,,,,,,,,,,,09/01/2017,-60,1060
10/01/2017,9342387,79681,417,376,,,,,,,,,,,,10/01/2017,-745,1039
11/01/2017,9351205,117336,616,501,,,,,,,,,,,,11/01/2017,-42,935
12/01/2017,9351205,71086,228,343,,,,,,,,,,,,12/01/2017,-81,918
13/01/2017,9365738,133765,467,546,,,,,,,,,,,,13/01/2017,-51,857
14/01/2017,9372611,65579,196,440,,,,,,,,,,,,14/01/2017,-7,794
15/01/2017,9380195,66658,226,692,,,,,,,,,,,,15/01/2017,-72,759
16/01/2017,9386778,161309,543,613,,,,,,,,,,,,16/01/2017,56,1107
17/01/2017,9390314,164142,714,620,,,,,,,,,,,,17/01/2017,489,1226
18/01/2017,9398128,106805,570,467,,,,,,,,,,,,18/01/2017,22,1280
19/01/2017,9403041,186509,778,667,,,,,,,,,,,,19/01/2017,-23,1282
20/01/2017,9405575,145875,485,576,,,,,,,,,,,,20/01/2017,-19,1466
21/01/2017,9409916,84684,231,526,,,,,,,,,,,,21/01/2017,3,1455
22/01/2017,9413368,33747,105,448,,,,,,,,,,,,22/01/2017,0,1455
23/01/2017,9417043,156283,711,748,,,,,,,,,,,,23/01/2017,19,1493
24/01/2017,9421301,45817,178,554,,,,,,,,,,,,24/01/2017,619,1607
25/01/2017,9424610,142841,631,716,,,,,,,,,,,,25/01/2017,-35,1628
26/01/2017,9428339,83471,317,770,,,,,,,,,,,,26/01/2017,-40,1596
27/01/2017,9431385,191858,754,676,,,,,,,,,,,,27/01/2017,-31,1420
28/01/2017,9435083,165657,439,621,,,,,,,,,,,,28/01/2017,-35,1416
29/01/2017,9438086,164869,475,440,,,,,,,,,,,,29/01/2017,18,1109
30/01/2017,9440653,153972,411,492,,,,,,,,,,,,30/01/2017,-62,1045
31/01/2017,9443464,174397,619,784,,,,,,,,,,,,31/01/2017,440,722
01/02/2017,9447306,20090,101,298,,,,,,,,,,,,01/02/2017,-87,1299
02/02/2017,9450793,121890,620,658,,,,,,,,,,,,02/02/2017,-47,1642
03/02/2017,9453258,89566,613,794,,,,,,,,,,,,03/02/2017,-29,1900
04/02/2017,9457054,186895,531,665,,,,,,,,,,,,04/02/2017,-16,2503
05/02/2017,9460637,177434,327,646,,,,,,,,,,,,05/02/2017,-62,2569
06/02/2017,9463754,187881,618,667,,,,,,,,,,,,06/02/2017,31,2588
07/02/2017,9466535,181436,1132,655,,,,,,,,,,,,07/02/2017,420,3215
08/02/2017,9470203,147687,720,579,,,,,,,,,,,,08/02/2017,229,3689
09/02/2017,9474930,259622,1777,782,,,,,,,,,,,,09/02/2017,169,4209
10/02/2017,9479313,208540,781,599,,,,,,,,,,,,10/02/2017,93,4267
11/02/2017,9483652,93890,350,561,,,,,,,,,,,,11/02/2017,101,6519
12/02/2017,9487517,21002,70,308,,,,,,,,,,,,12/02/2017,0,6519
13/02/2017,9491172,31582,147,425,,,,,,,,,,,,13/02/2017,365,9537
14/02/2017,9494774,17633,100,266,,,,,,,,,,,,14/02/2017,282,9019
15/02/2017,9498391,1113555,3247,386,,,,,,,,,,,,15/02/2017,150,8557
16/02/2017,9500426,353640,1294,357,,,,,,,,,,,,16/02/2017,176,8237
17/02/2017,9503386,180360,527,409,,,,,,,,,,,,17/02/2017,151,8505
18/02/2017,9506952,155214,422,419,,,,,,,,,,,,18/02/2017,336,6713
19/02/2017,9510264,126954,337,426,,,,,,,,,,,,19/02/2017,271,5881
20/02/2017,9513590,100260,378,443,,,,,,,,,,,,20/02/2017,459,5863
21/02/2017,9516557,117575,364,496,,,,,,,,,,,,21/02/2017,209,6132
22/02/2017,9519020,156351,720,598,,,,,,,,,,,,22/02/2017,176,5954
23/02/2017,9522317,180625,694,468,,,,,,,,,,,,23/02/2017,5,6180
24/02/2017,9527124,133451,447,688,,,,,,,,,,,,24/02/2017,132,6572
25/02/2017,9531255,130714,817,534,,,,,,,,,,,,25/02/2017,97,6101
26/02/2017,9536829,190978,616,565,,,,,,,,,,,,26/02/2017,114,5719
27/02/2017,9542938,215318,525,528,,,,,,,,,,,,27/02/2017,11,4498
28/02/2017,9549410,56626,135,389,,,,,,,,,,,,28/02/2017,-134,4090
01/03/2017,9554920,173268,408,395,,,,,,,,,,,,01/03/2017,-9,3788
02/03/2017,9560403,104635,305,455,,,,,,,,,,,,02/03/2017,-72,3010
03/03/2017,9568486,104948,253,456,,,,,,,,,,,,03/03/2017,-69,2092
04/03/2017,9577075,124973,466,516,,,,,,,,,,,,04/03/2017,-16,1332
05/03/2017,9585016,96638,301,429,,,,,,,,,,,,05/03/2017,0,1332
06/03/2017,9593469,94086,522,421,,,,,,,,,,,,06/03/2017,-143,541
07/03/2017,9601999,121029,414,504,,,,,,,,,,,,07/03/2017,-363,515
08/03/2017,9610466,243248,948,755,,,,,,,,,,,,08/03/2017,-13,534
09/03/2017,9616500,114138,603,484,,,,,,,,,,,,09/03/2017,13,918
10/03/2017,9622994,239549,1152,646,,,,,,,,,,,,10/03/2017,340,3482
11/03/2017,9628587,73447,277,720,,,,,,,,,,,,11/03/2017,317,5797
12/03/2017,9634522,144527,768,566,,,,,,,,,,,,12/03/2017,446,8113
13/03/2017,9643735,35528,101,459,,,,,,,,,,,,13/03/2017,332,9630
14/03/2017,9648779,143953,574,564,,,,,,,,,,,,14/03/2017,-2632,10275
15/03/2017,9654084,130060,492,527,,,,,,,,,,,,15/03/2017,76,10923
16/03/2017,9659219,305122,1204,585,,,,,,,,,,,,16/03/2017,44,11044
17/03/2017,9664953,144917,602,714,,,,,,,,,,,,17/03/2017,41,9170
18/03/2017,9672053,100543,263,580,,,,,,,,,,,,18/03/2017,79,7325
19/03/2017,9679435,106650,365,601,,,,,,,,,,,,19/03/2017,30,5439
20/03/2017,9685760,159023,849,600,,,,,,,,,,,,20/03/2017,36,4345
21/03/2017,9691112,133005,450,534,,,,,,,,,,,,21/03/2017,-19,3809
22/03/2017,9697701,176066,628,636,,,,,,,,,,,,22/03/2017,53,3482
23/03/2017,9700041,166692,496,616,,,,,,,,,,,,23/03/2017,142,3757
24/03/2017,9705915,130156,282,526,,,,,,,,,,,,24/03/2017,233,3899
25/03/2017,9712216,156590,555,593,,,,,,,,,,,,25/03/2017,110,4070
26/03/2017,9718881,72084,366,711,,,,,,,,,,,,26/03/2017,0,4070
27/03/2017,9725764,207713,525,510,,,,,,,,,,,,27/03/2017,101,3776
28/03/2017,9732307,159052,714,495,,,,,,,,,,,,28/03/2017,507,3637
29/03/2017,9742423,250792,807,577,,,,,,,,,,,,29/03/2017,-23,3207
30/03/2017,9749168,145304,464,564,,,,,,,,,,,,30/03/2017,-11,2364
31/03/2017,9755704,110599,773,470,,,,,,,,,,,,31/03/2017,12,1648
01/04/2017,9761166,88153,338,779,,,,,,,,,,,,01/04/2017,-28,1141
02/04/2017,9768565,170481,515,622,,,,,,,,,,,,02/04/2017,-8,913
03/04/2017,9772592,72404,255,710,,,,,,,,,,,,03/04/2017,-76,772
04/04/2017,9777550,59025,107,635,,,,,,,,,,,,04/04/2017,-265,787
05/04/2017,9784928,135681,342,538,,,,,,,,,,,,05/04/2017,-54,872
06/04/2017,9791490,212189,577,453,,,,,,,,,,,,06/04/2017,-33,872
07/04/2017,9797429,150587,351,575,,,,,,,,,,,,07/04/2017,563,896
08/04/2017,9805184,38870,119,485,,,,,,,,,,,,08/04/2017,4,879
09/04/2017,9813638,53228,131,596,,,,,,,,,,,,09/04/2017,-17,847
10/04/2017,9821215,74898,353,722,,,,,,,,,,,,10/04/2017,15,815
11/04/2017,9827729,180477,626,641,,,,,,,,,,,,11/04/2017,62,882
12/04/2017,9831317,100011,368,433,,,,,,,,,,,,12/04/2017,1,842
13/04/2017,9845269,120762,294,872,,,,,,,,,,,,13/04/2017,0,984
14/04/2017,9853748,188878,547,657,,,,,,,,,,,,14/04/2017,56,1078
15/04/2017,9864799,124103,290,651,,,,,,,,,,,,15/04/2017,28,1089
16/04/2017,9876706,37755,198,474,,,,,,,,,,,,16/04/2017,59,1119
17/04/2017,9886352,71278,264,702,,,,,,,,,,,,17/04/2017,-36,1144
18/04/2017,9891753,61625,306,649,,,,,,,,,,,,18/04/2017,-196,1145
19/04/2017,9903132,162246,458,600,,,,,,,,,,,,19/04/2017,37,1199
20/04/2017,9912848,250265,751,653,,,,,,,,,,,,20/04/2017,33,1191
21/04/2017,9923367,135772,811,684,,,,,,,,,,,,21/04/2017,22,1190
22/04/2017,9932440,177658,498,632,,,,,,,,,,,,22/04/2017,29,1237
23/04/2017,9940131,38395,124,477,,,,,,,,,,,,23/04/2017,15,1238
24/04/2017,9948438,108052,367,598,,,,,,,,,,,,24/04/2017,-84,1227
25/04/2017,9956833,90372,934,536,,,,,,,,,,,,25/04/2017,-106,1253
26/04/2017,9962591,84977,1707,767,,,,,,,,,,,,26/04/2017,40,1312
27/04/2017,9968960,93164,280,792,,,,,,,,,,,,27/04/2017,-2,1977
28/04/2017,9976443,81139,187,744,,,,,,,,,,,,28/04/2017,66,2421
29/04/2017,9985264,85142,337,761,,,,,,,,,,,,29/04/2017,154,3745
30/04/2017,9992840,182941,494,641,,,,,,,,,,,,30/04/2017,261,5144
01/05/2017,9999199,293306,1167,389,,,,,,,,,,,,01/05/2017,74,5964
02/05/2017,10007030,136195,505,436,,,,,,,,,,,,02/05/2017,8,6067
03/05/2017,10017259,95748,900,554,,,,,,,,,,,,03/05/2017,25,6106
04/05/2017,10026905,42815,128,512,,,,,,,,,,,,04/05/2017,17,5503
05/05/2017,10035074,77565,327,728,,,,,,,,,,,,05/05/2017,27,5043
06/05/2017,10043246,87318,252,768,,,,,,,,,,,,06/05/2017,-24,3534
07/05/2017,10050756,54395,137,597,,,,,,,,,,,,07/05/2017,34,2038
08/05/2017,10058349,63132,163,652,,,,,,,,,,,,08/05/2017,-39,1143
09/05/2017,10064703,83200,474,752,,,,,,,,,,,,09/05/2017,107,941
10/05/2017,10069128,105667,205,829,,,,,,,,,,,,10/05/2017,31,872
11/05/2017,10073069,137548,651,683,,,,,,,,,,,,11/05/2017,-3,1114
12/05/2017,10079216,113277,316,611,,,,,,,,,,,,12/05/2017,-28,1409
13/05/2017,10084237,58225,127,621,,,,,,,,,,,,13/05/2017,93,2021
14/05/2017,10089060,155697,356,727,,,,,,,,,,,,14/05/2017,66,2450
15/05/2017,10092997,197499,709,667,,,,,,,,,,,,15/05/2017,20,2622
16/05/2017,10096073,132639,357,521,,,,,,,,,,,,16/05/2017,79,2625
17/05/2017,10100356,21766,67,304,,,,,,,,,,,,17/05/2017,-11,2527
18/05/2017,10105894,25129,112,342,,,,,,,,,,,,18/05/2017,-23,2361
19/05/2017,10110300,48136,181,552,,,,,,,,,,,,19/05/2017,-17,2099
20/05/2017,10115116,94603,248,793,,,,,,,,,,,,20/05/2017,-25,1495
21/05/2017,10119751,154848,460,724,,,,,,,,,,,,21/05/2017,16,1090
22/05/2017,10123817,156174,406,727,,,,,,,,,,,,22/05/2017,24,966
23/05/2017,10128868,49329,100,559,,,,,,,,,,,,23/05/2017,75,1034
24/05/2017,10133502,139347,353,686,,,,,,,,,,,,24/05/2017,-10,1012
25/05/2017,10138264,61681,201,641,,,,,,,,,,,,25/05/2017,-71,911
26/05/2017,10143579,50031,117,564,,,,,,,,,,,,26/05/2017,-3,905
27/05/2017,10148763,47128,186,543,,,,,,,,,,,,27/05/2017,34,1065
28/05/2017,10153995,89816,399,775,,,,,,,,,,,,28/05/2017,77,1320
29/05/2017,10158631,38552,95,472,,,,,,,,,,,,29/05/2017,32,1467
30/05/2017,10164062,44877,94,524,,,,,,,,,,,,30/05/2017,151,1521
31/05/2017,10171624,26761,81,358,,,,,,,,,,,,31/05/2017,-41,1684
02/06/2017,10183010,27342,97,364,,,,,,,,,,,,01/06/2017,-52,1735
03/06/2017,10188453,82584,229,745,,,,,,,,,,,,02/06/2017,-2,1805
04/06/2017,10194089,54973,172,597,,,,,,,,,,,,03/06/2017,-29,1816
05/06/2017,10200183,233779,604,538,,,,,,,,,,,,04/06/2017,21,1755
06/06/2017,10207553,57605,103,378,,,,,,,,,,,,05/06/2017,4,1715
07/06/2017,10213569,113028,348,607,,,,,,,,,,,,06/06/2017,21,1824
08/06/2017,10219201,126266,452,648,,,,,,,,,,,,07/06/2017,92,2003
09/06/2017,10223998,64687,198,656,,,,,,,,,,,,08/06/2017,55,2275
10/06/2017,10228690,73833,287,704,,,,,,,,,,,,09/06/2017,134,2622
11/06/2017,10233072,228988,554,530,,,,,,,,,,,,10/06/2017,129,3046
12/06/2017,10236770,55268,143,598,,,,,,,,,,,,11/06/2017,62,3133
13/06/2017,10238584,124946,335,643,,,,,,,,,,,,12/06/2017,116,3484
14/06/2017,10242864,46351,239,535,,,,,,,,,,,,13/06/2017,175,3597
15/06/2017,10249452,81124,224,487,,,,,,,,,,,,14/06/2017,120,3659
16/06/2017,10254660,88170,298,384,,,,,,,,,,,,15/06/2017,65,3736
17/06/2017,10257022,46651,136,536,,,,,,,,,,,,16/06/2017,105,3767
18/06/2017,10260654,38106,109,466,,,,,,,,,,,,17/06/2017,30,3446
19/06/2017,10263777,47134,177,540,,,,,,,,,,,,18/06/2017,6,3276
20/06/2017,10265963,71445,286,692,,,,,,,,,,,,19/06/2017,-10,2908
22/06/2017,10271252,169927,737,753,,,,,,,,,,,,20/06/2017,6,2714
23/06/2017,10273504,146145,386,551,,,,,,,,,,,,21/06/2017,31,2533
24/06/2017,10274862,119681,400,481,,,,,,,,,,,,22/06/2017,65,2425
25/06/2017,10275734,152924,324,567,,,,,,,,,,,,23/06/2017,230,2611
26/06/2017,10277330,35177,79,439,,,,,,,,,,,,24/06/2017,208,2772
27/06/2017,10279475,67808,233,427,,,,,,,,,,,,25/06/2017,135,3055
28/06/2017,10280620,39488,92,277,,,,,,,,,,,,26/06/2017,180,3432
29/06/2017,10282850,180467,446,345,,,,,,,,,,,,27/06/2017,123,3667
30/06/2017,10283654,72656,161,258,,,,,,,,,,,,28/06/2017,105,3996
01/07/2017,10285622,193648,600,796,,,,,,,,,,,,29/06/2017,-20,3875
02/07/2017,10288838,114688,257,610,,,,,,,,,,,,30/06/2017,-28,3266
03/07/2017,10291187,69254,145,679,,,,,,,,,,,,01/07/2017,2,3105
04/07/2017,10293233,27425,63,362,,,,,,,,,,,,02/07/2017,499,3955
05/07/2017,10295923,66226,172,663,,,,,,,,,,,,03/07/2017,462,4913
06/07/2017,10298099,139960,336,683,,,,,,,,,,,,04/07/2017,13,4766
07/07/2017,10299760,104758,831,578,,,,,,,,,,,,05/07/2017,77,4497
08/07/2017,10301555,124561,255,640,,,,,,,,,,,,06/07/2017,35,4531
09/07/2017,10303733,49913,217,559,,,,,,,,,,,,07/07/2017,-26,4586
10/07/2017,10305924,52753,121,579,,,,,,,,,,,,08/07/2017,6,4512
11/07/2017,10308083,36345,123,449,,,,,,,,,,,,09/07/2017,35,3588
12/07/2017,10309684,61314,187,634,,,,,,,,,,,,10/07/2017,-40,2446
13/07/2017,10311599,45143,147,523,,,,,,,,,,,,11/07/2017,-106,2522
14/07/2017,10313701,53664,333,586,,,,,,,,,,,,12/07/2017,63,2683
15/07/2017,10315438,44751,141,520,,,,,,,,,,,,13/07/2017,15,2709
16/07/2017,10317193,23348,77,318,,,,,,,,,,,,14/07/2017,-3,2685
17/07/2017,10319177,44967,94,521,,,,,,,,,,,,15/07/2017,85,2483
18/07/2017,10321956,64048,172,650,,,,,,,,,,,,16/07/2017,86,2294
,,,,,,,,,,,,,,,,17/07/2017,98,2163
,,,,,,,,,,,,,,,,18/07/2017,464,1992
,,,,,,,,,,,,,,,,19/07/2017,1506,1723
,,,,,,,,,,,,,,,,20/07/2017,-668,1560
,,,,,,,,,,,,,,,,21/07/2017,1391,1518
,,,,,,,,,,,,,,,,22/07/2017,-1030,1454
,,,,,,,,,,,,,,,,23/07/2017,1389,1314
,,,,,,,,,,,,,,,,24/07/2017,-624,1133
,,,,,,,,,,,,,,,,25/07/2017,1501,992
,,,,,,,,,,,,,,,,26/07/2017,418,931
,,,,,,,,,,,,,,,,27/07/2017,-1139,936
,,,,,,,,,,,,,,,,28/07/2017,-1164,897
,,,,,,,,,,,,,,,,29/07/2017,-1353,842
,,,,,,,,,,,,,,,,30/07/2017,789,794
,,,,,,,,,,,,,,,,31/07/2017,3056,743
,,,,,,,,,,,,,,,,01/08/2017,1154,692
,,,,,,,,,,,,,,,,02/08/2017,-632,634
,,,,,,,,,,,,,,,,03/08/2017,-1126,580
,,,,,,,,,,,,,,,,04/08/2017,80,577
,,,,,,,,,,,,,,,,05/08/2017,3055,610
,,,,,,,,,,,,,,,,06/08/2017,1611,626
,,,,,,,,,,,,,,,,07/08/2017,-219,615
,,,,,,,,,,,,,,,,08/08/2017,1110,658
,,,,,,,,,,,,,,,,09/08/2017,-1032,638
,,,,,,,,,,,,,,,,10/08/2017,-671,645
,,,,,,,,,,,,,,,,11/08/2017,416,642
,,,,,,,,,,,,,,,,12/08/2017,858,624
,,,,,,,,,,,,,,,,13/08/2017,1157,611
,,,,,,,,,,,,,,,,14/08/2017,1610,625
,,,,,,,,,,,,,,,,15/08/2017,773,672
,,,,,,,,,,,,,,,,16/08/2017,245,879
